date,sales,outsourcing_costs,commissions_fees,gross_profit,executive_compensation,salaries,bonuses,welfare_expenses,employee_welfare,transportation_expenses,communication_expenses,entertainment_expenses,depreciation_expenses,rent_payments,lease_payments,insurance_expenses,maintenance_expenses,utilities,fuel_expenses,supplies,taxes,office_supplies,advertising_expenses,service_fees,vehicle_costs,training_expenses,miscellaneous_expenses,operating_profit,interest_income,miscellaneous_income,interest_expenses,ordinary_profit,profit_bit,enterprise_taxes,net_profit
2023/4/1,3237935,446050,67281,2724604,150000,600000,0,109650,75000,0,10000,30000,0,85000,50000,40000,0,9000,60000,30000,76575,30000,2000,5000,30000,6000,1500,1324879,1393,5000,0,1331272,1331272,16667,1314605
2023/5/1,2886795,422697,75900,2388198,150001,600000,0,109650,75000,0,20252,215177,0,85000,50000,40000,0,9000,60000,30000,76575,30000,2000,5000,30000,6000,1500,793043,1393,5001,0,799437,799437,16667,782770
2023/6/1,2433599,388885,70165,1974549,150002,600000,0,109650,75000,0,72320,118000,0,85000,50000,40000,0,9000,60000,30000,76575,30000,2000,5000,30000,6000,1500,424502,1393,5002,0,430896,430896,16667,414230
2023/7/1,2682980,383801,77135,2222044,150003,600000,0,109650,75000,0,43554,60450,0,85000,50000,40000,0,9000,60000,30000,76575,30000,2000,5000,30000,6000,1500,758311,1393,5003,0,764707,764707,16667,748040
2023/8/1,2189032,377135,75572,1736325,150004,600000,600000,197371,75000,0,19499,454494,0,85000,50000,40000,0,9000,60000,30000,137835,30000,2000,5000,30000,6000,1500,-846378,1393,5004,0,-839981,-839981,16667,-856648
2023/9/1,2863369,454734,79468,2329167,150005,600000,0,109651,75000,0,81374,326824,0,85000,50000,40000,0,9000,60000,30000,76576,30000,2000,5000,30000,6000,1500,561238,1393,5005,0,567636,567636,16667,550969
2023/10/1,2209628,437021,81018,1691589,150006,600000,0,109651,75000,0,47787,337600,0,85000,50000,40000,0,9000,60000,30000,76576,30000,2000,5000,30000,6000,1500,-53530,1393,5006,0,-47132,-47132,16667,-63798
2023/11/1,2759670,439426,69270,2250974,150007,600000,0,109651,75000,0,72910,260530,0,85000,50000,40000,0,9000,60000,30000,76576,30000,2000,5000,30000,6000,1500,557800,1393,5007,0,564200,564200,16667,547533
2023/12/1,2839759,387256,68854,2383649,150008,600000,600000,197371,75000,0,50255,78270,0,85000,50000,40000,0,9000,60000,30000,137836,30000,2000,5000,30000,6000,1500,146409,1393,5008,0,152810,152810,16667,136143
2024/1/1,2268382,392593,81052,1794737,150009,600000,0,109651,75000,0,42922,177396,0,85000,50000,40000,0,9000,60000,30000,76576,30000,2000,5000,30000,6000,1500,214683,1393,5009,0,221085,221085,16667,204418
